transcripts,tags,speaker,intent
contact singapore tower one two four decimal tyree china eastern five zero six,B-ACTION B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"philippine four nine sveen nine tre , qantas airbus a three eighty from right to left will be taxiing off shortly once traffic is cleared expedite charlie , hold short kilo",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O B-QUALIFIER I-QUALIFIER I-QUALIFIER O O B-ACTION O O O O O O O B-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY,controller,traffic
"japan air two six tree seven good day , contact tower , one one eight decmial six",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING O B-ACTION B-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"switch over to singapore tower one two two point five five , supergreen two eight niner",O O O B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"contact singapore ground one two four decimal three , teeway three six tree zero zero",B-ACTION B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"affirmative , two zero center hotel hold short of one one eight two five thai air asia tree five four one",O O B-RUNWAY I-RUNWAY I-RUNWAY B-TAXIWAY B-ACTION I-ACTION O O O O O O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"to quebec holding point golf , cathay four three",O B-TAXIWAY B-ACTION I-ACTION B-TAXIWAY O B-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"magaysia tree five monitor singapore ground , one one eight decimal two five",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-CONTROLLER I-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"pia one tree eight , standard pushback approsed",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-STATUS,controller,pushback
"west jet three four , switch over to tower , one two one decimal seven two",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O B-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
garuda niner zero five onxe four pushback approved face east,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-STATUS O B-QUALIFIER,controller,pushback
"american one , standard pushback approved",B-CALLSIGN I-CALLSIGN O O O B-STATUS,controller,pushback
"xiamen air eight nine nine traffic is singapore airline , taxiing on juliet one eight from left to right , confirm your traffic in sight",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O B-VEHICLE I-VEHICLE O B-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-QUALIFIER I-QUALIFIER I-QUALIFIER O O O O O O,controller,traffic
"thai asia seven tree one one tree , pushback approved face south",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O B-STATUS O B-QUALIFIER,controller,pushback
"supergreen six eight five , monitor tower one two four decimal three",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-ACTION B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"hongkong tree nine seven niner ground , standby for push , number two hongkong niner",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER O B-ACTION O O O O O O O,controller,pushback
"indonesia seven singapore ground , good day standby number tow",B-CALLSIGN I-CALLSIGN B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING B-ACTION B-QUALIFIER I-QUALIFIER,controller,standby
"cgpy bravo , left delta , hold short victor , egypt air tree",O B-TAXIWAY O O B-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY O B-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"air asia nine , traffic ahead will be taxiing off shortly taxi to oscar hold short om oscar three",B-CALLSIGN I-CALLSIGN I-CALLSIGN O O B-QUALIFIER O O O O O B-ACTION O B-TAXIWAY B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY,controller,traffic
"maldivian three nine six taxi alpha , alpha nine oscar one niner hold short to bravo",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-TAXIWAY O B-TAXIWAY I-TAXIWAY B-TAXIWAY I-TAXIWAY I-TAXIWAY B-ACTION I-ACTION O B-TAXIWAY,controller,taxi
"okay continue kilo kilo two hold short romeo six , gate zulu three , china airlines nine four",O B-ACTION B-TAXIWAY B-TAXIWAY I-TAXIWAY B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY O B-GATE I-GATE I-GATE O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"flynas one one , contact singapore ground , one two four decimal three so long",B-CALLSIGN I-CALLSIGN I-CALLSIGN O B-ACTION B-CONTROLLER I-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-GREETING I-GREETING,controller,frequency
"good evening , canada sveen four flour nine six at juliet six left , request push and scart",B-GREETING I-GREETING O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE O O O O O,pilot,other
"scoot nine seven hotel zero nine , hotel romeo , hold short of lima six seven",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-TAXIWAY I-TAXIWAY I-TAXIWAY O O B-TAXIWAY O B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,taxi
air spring five tree behind garuda boeing seven three eight continue alpha zero eight holding point kilo four three runway zero two left,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-QUALIFIER B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,traffic
france air tree seven good morning switch over to tower at frequency one two two declmal five fitve,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING O O O B-CONTROLLER O O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
colntact singapore ground one one eight decimal two five jeju air tree seven bye,B-ACTION B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING,pilot,readback
"foxtrot proceed romeo two , one two two five fivhe ethiopian three ne eight tree zero",B-TAXIWAY B-ACTION B-TAXIWAY I-TAXIWAY O O O O O O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"kmile noe two eight two bay echo five six lima proceed oscar zero tango tree nine , turn left november",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GATE I-GATE I-GATE I-GATE I-GATE B-ACTION B-TAXIWAY I-TAXIWAY B-TAXIWAY I-TAXIWAY I-TAXIWAY O O O B-TAXIWAY,controller,taxi
lapha nine nine tango seven niner air asia tree six eight zero,B-TAXIWAY I-TAXIWAY I-TAXIWAY B-GATE I-GATE I-GATE B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"mauritius seven five four four tree , ground , good evening , continue lima six five , india fo oscar tree hold sort of romeo runway zero tow right",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER O B-GREETING I-GREETING O B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-TAXIWAY O B-TAXIWAY I-TAXIWAY B-ACTION I-ACTION O B-TAXIWAY B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,taxi
"indigo three five niner tree ground , good day standby number one",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER O B-GREETING I-GREETING B-ACTION B-QUALIFIER I-QUALIFIER,controller,standby
"affirm hold short kilo , one two two point five five , brussels zreo four , welcome",O O O B-TAXIWAY O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GREETING,pilot,readback
"copy , hold short xray one two two decimal five five , all nippon three seven five , welcome",O O O O B-TAXIWAY B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GREETING,pilot,readback
"kenya three niner three three , hold short novebmer tree eight , monitor ground one one eight decimal six thank you very much",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-GREETING I-GREETING I-GREETING I-GREETING,controller,taxi
citilink four niner eight eight homd short romeo standby due traffic,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION I-ACTION B-TAXIWAY B-ACTION O O,controller,standby
"tower morning , hong kong nine bay lima zero four lima ready foo push and start",B-CONTROLLER B-GREETING O B-CALLSIGN I-CALLSIGN I-CALLSIGN B-GATE I-GATE I-GATE I-GATE I-GATE B-STATUS O O O O,pilot,other
"srilankpn seven nine five zero expedite uniform four eight , stnad xray zero",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-GATE I-GATE I-GATE,controller,taxi
hong kong nine niner zero monitor singapore tower omne one eight decimal six,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
iceland nine hold short golf zero two standby due traffic,B-CALLSIGN I-CALLSIGN B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY B-ACTION O O,controller,standby
"speedbird six five four nine , traffic is singarore airline seven three five nine , taxiign on golf from right to left , confirm your traffic in sight",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O B-ACTION O B-TAXIWAY O B-QUALIFIER I-QUALIFIER I-QUALIFIER O O O O O O,controller,traffic
"uniform three nine lima standard pushback , airfly five",B-GATE I-GATE I-GATE I-GATE O B-ACTION O B-CALLSIGN I-CALLSIGN,pilot,readback
"airfrance two expedite charlie seven zero , holding point quebec four seven",B-CALLSIGN I-CALLSIGN O B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,taxi
"eurowings five , singapore tower , morning standby due traffic",B-CALLSIGN I-CALLSIGN O B-CONTROLLER I-CONTROLLER O B-GREETING B-ACTION O O,controller,standby
"wilco , bravo seven quebec behind bangkok air on our left biman seven tree zero",O O B-TAXIWAY I-TAXIWAY B-TAXIWAY O B-VEHICLE I-VEHICLE O O O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"singapore tower , jordanian seven three vacated via koscar",B-CONTROLLER I-CONTROLLER O B-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION O B-TAXIWAY,pilot,other
"pegasus six five three , singapore ground good day , apron foxtrot zero lima standard pushback approved",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER I-CONTROLLER B-GREETING I-GREETING O B-GATE I-GATE I-GATE I-GATE O O B-STATUS,controller,pushback
morning eurowings niner seven at apron india seven right request push and start,B-GREETING B-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE I-GATE O O O O,pilot,other
airchina nine six three four niner taxi to whiskey eight hold short to echo one zero runway zero two center,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION O B-TAXIWAY I-TAXIWAY B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,taxi
"hong kong seven zero niner contact tower at frequency one tyo two decimla five five , so long",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-CONTROLLER O O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-GREETING I-GREETING,controller,frequency
alpha nine proceed oscar zero tree two zero center air fly six two niner tree nine good day,B-TAXIWAY I-TAXIWAY B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY B-RUNWAY I-RUNWAY I-RUNWAY B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING,pilot,readback
"silk air tree two nine four six , singapore tower a very good morning , standby about one minute",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER I-CONTROLLER B-GREETING I-GREETING I-GREETING I-GREETING O B-ACTION O O O,controller,standby
"evening contact tower , one two four three koreanair six two niner one",B-GREETING B-ACTION B-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"pegasus seven two eight one one , good evening switch over to singapore tower one two two decimal five five",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GREETING I-GREETING O O O B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"hainan eight traffic is qantas airbus three three zero , taxiing bon uniform five five confirm your traffic in sight",B-CALLSIGN I-CALLSIGN O O B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O B-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY O O O O O,controller,traffic
behind garua boeing seven three eight from right to left taxi papa three november two tree hold short to eco singapore zero nine four,B-QUALIFIER B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O O O O B-ACTION B-TAXIWAY I-TAXIWAY B-TAXIWAY I-TAXIWAY I-TAXIWAY B-ACTION I-ACTION O B-TAXIWAY B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"silk air two six tree niner one good afternoon monitor tower , one two four decimal three",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING B-ACTION B-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
southwest seven inz eight zero monitor singapore ground noe two four decimal three,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"southwest five two tower evening , standby aobut one minute",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER B-GREETING O B-ACTION O O O,controller,standby
"singapore tower , srilankan seven niner lree one four , stand hotel five tree fully ready",B-CONTROLLER I-CONTROLLER O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE I-GATE O B-STATUS,pilot,other
good day kenya niner vwe are hold short of taxiway alpha to hold short oscar,B-GREETING I-GREETING B-CALLSIGN I-CALLSIGN O O O O O O B-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY,pilot,other
"tower norwegian five zero tree two , vacated via zulu",B-CONTROLLER B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-ACTION O B-TAXIWAY,pilot,other
"portugal ari four eight tree zero tree , traffic is cathay six five eight taxiing on mike niner form right to left , confirm your traffic in sight",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE B-ACTION O B-TAXIWAY I-TAXIWAY O B-QUALIFIER I-QUALIFIER I-QUALIFIER O O O O O O,controller,traffic
"china airlines seven tree tree four three , hold short to alpha three standby due traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY B-ACTION O O,controller,standby
"kay ell em zero eight , switch over to towek , one one eight decimal six",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O B-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"ground emirates five eight nine at xrya nine enine start is successful , request pushback",B-CONTROLLER B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE O O O O O O O,pilot,other
"china airlines eight tree four one eight , good evening once ready switch over to singapore ground at frequenyc one two four decimal three",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GREETING I-GREETING O O O O O B-CONTROLLER I-CONTROLLER O O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"ground evening , spirit three request taxi",B-CONTROLLER B-GREETING O B-CALLSIGN I-CALLSIGN O O,pilot,other
"myanmar six four , garuda seven three eigh en your right will be taxiing off shortly once traffic is cleared recleared hotel niner , hol short india nsiner",B-CALLSIGN I-CALLSIGN I-CALLSIGN O B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O O B-QUALIFIER O O B-ACTION O O O O O O B-ACTION B-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY,controller,traffic
airasia tree niner when you are ready monitor singapore ground one two four decimal three,B-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O B-ACTION B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"singapore ground , a very good morning , eva eight three at uniform two two engine start complete request pushback",B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING I-GREETING I-GREETING O B-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE O O O O O,pilot,other
"ana tree , prking stand hotel zero ivj lima , ready for push and start",B-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE I-GATE I-GATE I-GATE O B-STATUS O O O O,pilot,other
"asiana nine eight niner , ground good day , expedite mike two niner , hold short to mike",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER B-GREETING I-GREETING O O B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION O O,controller,taxi
"singapore ground , good evening biman two seven zero five niner at parking stand golf seven nien engine start complete , request pushback",B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE I-GATE I-GATE O O O O O O,pilot,other
"ground , scooter three fur seven one vacated via charlie niner six",B-CONTROLLER O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY,pilot,other
"lufthansa three victor one two , bay charlie six",B-CALLSIGN I-CALLSIGN B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-GATE I-GATE I-GATE,controller,taxi
"singapore niner five seven three tree proceed whiskey three , whiskey , victor seven seven holding point , runway zero two right",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-TAXIWAY I-TAXIWAY O O O B-TAXIWAY I-TAXIWAY I-TAXIWAY B-ACTION I-ACTION O B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,taxi
"asiana frour niner six , traffic ahead will be taxiing off shortly , whiskey five one hold short to romeo one",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O B-QUALIFIER O O O O O O B-TAXIWAY I-TAXIWAY I-TAXIWAY B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY,controller,traffic
"ground , indonesian six four eight seven fully ready with india",B-CONTROLLER O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-STATUS O O,pilot,other
laoair tree hotel bsierra holding point lima zero,B-CALLSIGN I-CALLSIGN B-TAXIWAY B-TAXIWAY B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY,controller,taxi
srilankan one one four zero we are fully ready with 162 passengers on board requesting push and start from parking stand lima ne eight left,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O O O O O O O O O O O B-GATE I-GATE I-GATE I-GATE I-GATE I-GATE,pilot,other
"maldivian seven nine niner , singapore ground morning standby number two",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER I-CONTROLLER B-GREETING B-ACTION B-QUALIFIER I-QUALIFIER,controller,standby
"singapore tower etihad one four , vacated via uniform",B-CONTROLLER I-CONTROLLER B-CALLSIGN I-CALLSIGN I-CALLSIGN O B-ACTION O B-TAXIWAY,pilot,other
"garuda tree three niner three eight number two behind company seven eight seven on your right releared whiskey nine , hold short to alpha",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O B-QUALIFIER B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O O B-QUALIFIER B-ACTION B-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION O B-TAXIWAY,controller,traffic
"singapore seven four holding point tango five ethre , standiy du traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION O O,controller,standby
"jet two zero zero five taxi golf niner eight , hold short of papa five , runway zero two right",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY O B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,taxi
egyptair tree three three three two number one to jetstar asia sierra hold short fo charlie two nine,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-VEHICLE I-VEHICLE B-TAXIWAY B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,traffic
"indonesia three four four , ground , good morning november three nine lima standard pushback approved",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER O B-GREETING I-GREETING B-GATE I-GATE I-GATE I-GATE O O B-STATUS,controller,pushback
"singapore ground , good evening , american three seven one tree at delta six two left engine start complete , request pushback",B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE I-GATE O O O O O O,pilot,other
ground all nippon zero turn left on bravo,B-CONTROLLER B-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-TAXIWAY,pilot,other
one one eight isx supergreen eight four one fvie,O O O O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
singapore tower airfrance six on charlie niner one,B-CONTROLLER I-CONTROLLER B-CALLSIGN I-CALLSIGN O B-TAXIWAY I-TAXIWAY I-TAXIWAY,pilot,other
"air india three tower , good day , standb due traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER O B-GREETING I-GREETING O B-ACTION O O,controller,standby
"tower , good evening , frontier three four five request pushback and start up",B-CONTROLLER O B-GREETING I-GREETING O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O O,pilot,other
"monitor tower oen one eighi two five , eva six one zero zero thank you",B-ACTION B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING,pilot,readback
"good evening contact ground , one two two point five five , franceair one nine two five",B-GREETING I-GREETING B-ACTION B-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"quebec bay dtlta six eight , iberia five",B-TAXIWAY B-GATE I-GATE I-GATE I-GATE O B-CALLSIGN I-CALLSIGN,pilot,readback
"lao air two seven six hour when ready switch over to singapore tower at frequency gone two two decimal five five , bye",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O O B-CONTROLLER I-CONTROLLER O O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-GREETING,controller,frequency
"oman air tree three eight tree singapore airlince seven thirty five nine on your right will be taxiing off shortly , once traffic is cleared recleared oscar seven , hold short charlie tree one",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O O B-QUALIFIER O O B-ACTION O O O O O O O B-ACTION B-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,traffic
idia seven monitor singapore ground one one eight decimal ix,B-CALLSIGN I-CALLSIGN B-ACTION B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
